rank,layer,head,head_label,mean_recovery,median_recovery,max_recovery,min_recovery,mean_patched_ld,valid_pairs,total_pairs
87,2,7,L2H7,1.8447151428607617e-05,0.0014364340329950103,0.006161119323105153,-0.013036916794541742,-0.061907958984375,20,20
88,5,1,L5H1,4.472776315931957e-06,1.943883718604047e-05,0.00024211223813650032,-0.0002424330581718123,-0.06256980895996093,20,20
89,5,11,L5H11,3.5115143010181395e-06,-0.0011293786801574717,0.016840601746262125,-0.011464370410764334,-0.06332778930664062,20,20
90,0,8,L0H8,-2.439455427369829e-07,2.518271848830027e-05,0.0006060826454295308,-0.0011667279621574323,-0.06254005432128906,20,20
91,6,9,L6H9,-2.5801649810149952e-05,0.00010809247908229652,0.002840728951339835,-0.0036514847835602553,-0.0626953125,20,20
92,0,4,L0H4,-2.7031376698981584e-05,0.000883897523133816,0.004812501974494792,-0.011058124265671435,-0.0622039794921875,20,20
93,1,0,L1H0,-0.00018623512539534573,-0.0005864348823830847,0.0059261200658134216,-0.010919897712350543,-0.06257858276367187,20,20
94,5,6,L5H6,-0.00019842689182097612,-0.0005998032613732721,0.003430427773131144,-0.0022568761921402465,-0.06276741027832031,20,20
95,3,9,L3H9,-0.0003634439026567212,-0.0009088693610459129,0.007874538745387454,-0.01609323678236719,-0.06228790283203125,20,20
96,1,9,L1H9,-0.000425655812513128,0.0001294990776592601,0.0038542138351533787,-0.008661686936451371,-0.062896728515625,20,20
97,0,10,L0H10,-0.0005017017180750654,-9.513248743803809e-05,0.003466161080439994,-0.0067467312594321075,-0.06299514770507812,20,20
98,11,1,L11H1,-0.0005128563312683002,0.0005320951273412508,0.005272141096150199,-0.010614688090497508,-0.06273460388183594,20,20
99,0,9,L0H9,-0.000552610943126692,-0.001192238065157657,0.009776203561047666,-0.004986968360051835,-0.06325149536132812,20,20
100,1,3,L1H3,-0.0005611723687877076,-0.0002925482907723941,0.0018825025059286604,-0.013163735051297984,-0.06290969848632813,20,20
101,1,2,L1H2,-0.0007122289936128004,-0.0009571880827119944,0.002200105973690879,-0.0015982539505228696,-0.063385009765625,20,20
102,3,7,L3H7,-0.0007504154717042866,-0.0011581596379696907,0.01338361038823092,-0.008776787407547886,-0.06342582702636719,20,20
103,10,2,L10H2,-0.0010278954216788865,-5.0247524537952104e-05,0.009346505522935082,-0.02094132282811528,-0.06346282958984376,20,20
104,2,5,L2H5,-0.0010597525925868756,-0.00041557785088701827,0.003766673577994333,-0.01425437205940167,-0.06346817016601562,20,20
105,2,0,L2H0,-0.0011350323030265704,0.001494000235416488,0.008967394895787902,-0.03367024716878242,-0.06233901977539062,20,20
